database,batch_time,batch_cpu,batch_memory,batch_time_per_record,number of records inserted
Redis,0.14490914344787598,15.7,11030.81640625,0.00014490914344787598,1000
Redis,0.1517643928527832,15.8,11030.80859375,0.00015176439285278321,1000
Redis,0.14092373847961426,16.7,11031.19921875,0.00014092373847961426,1000
Redis,0.14361786842346191,18.1,11031.19921875,0.0001436178684234619,1000
Redis,0.14739465713500977,16.8,11031.19921875,0.00014739465713500976,1000
Redis,0.1404733657836914,16.1,11031.19921875,0.0001404733657836914,1000
Redis,0.17678046226501465,31.5,11074.87890625,0.00017678046226501465,1000
Redis,0.20849180221557617,32.1,11078.32421875,0.00020849180221557616,1000
Redis,0.15294313430786133,32.2,11108.28125,0.00015294313430786133,1000
Redis,0.178999662399292,35.9,11083.5390625,0.000178999662399292,1000
Redis,0.1575322151184082,43.7,11118.0234375,0.00015753221511840822,1000
Redis,0.2050037384033203,44.0,11121.8984375,0.0002050037384033203,1000
Redis,0.1952817440032959,50.0,11159.296875,0.0001952817440032959,1000
Redis,0.1910686492919922,49.3,11168.88671875,0.00019106864929199218,1000
Redis,0.18633294105529785,52.0,11178.23828125,0.00018633294105529786,1000
Redis,0.20872116088867188,43.0,11179.65234375,0.0002087211608886719,1000
Redis,0.16593527793884277,41.7,11184.13671875,0.00016593527793884276,1000
Redis,0.14480924606323242,16.7,11184.35546875,0.00014480924606323243,1000
Redis,0.14690518379211426,18.5,11185.4609375,0.00014690518379211425,1000
Redis,0.14214801788330078,17.5,11185.4609375,0.00014214801788330078,1000
Redis,0.16591882705688477,31.3,11162.82421875,0.00016591882705688476,1000
Redis,0.14290690422058105,15.9,11163.06640625,0.00014290690422058105,1000
Redis,0.14200139045715332,17.4,11163.06640625,0.00014200139045715332,1000
Redis,0.1586604118347168,40.5,11237.37109375,0.0001586604118347168,1000
Redis,0.1606748104095459,34.1,11182.21484375,0.0001606748104095459,1000
Redis,0.16882944107055664,29.6,11280.75,0.00016882944107055663,1000
Redis,0.1676640510559082,45.9,11151.078125,0.0001676640510559082,1000
Redis,0.14209294319152832,20.5,11129.55078125,0.00014209294319152832,1000
Redis,0.13257718086242676,17.0,11129.54296875,0.00013257718086242675,1000
Redis,0.13573527336120605,17.4,11130.05859375,0.00013573527336120607,1000
Redis,0.13668012619018555,16.7,11130.29296875,0.00013668012619018555,1000
Redis,0.13862037658691406,17.1,11130.36328125,0.00013862037658691408,1000
Redis,0.14188075065612793,15.9,11130.609375,0.00014188075065612793,1000
Redis,0.1453263759613037,14.9,11130.609375,0.0001453263759613037,1000
Redis,0.14909934997558594,17.4,11096.1171875,0.00014909934997558595,1000
Redis,0.14390921592712402,17.4,11096.34765625,0.00014390921592712403,1000
Redis,0.14055085182189941,17.0,11097.03515625,0.00014055085182189942,1000
Redis,0.14025259017944336,17.0,11097.28125,0.00014025259017944335,1000
Redis,0.16052460670471191,21.5,11125.6953125,0.0001605246067047119,1000
Redis,0.16112732887268066,29.9,11103.5234375,0.00016112732887268067,1000
Redis,0.14214563369750977,16.8,11103.91796875,0.00014214563369750977,1000
Redis,0.1447463035583496,17.1,11104.37890625,0.0001447463035583496,1000
Redis,0.14157676696777344,18.9,11104.74609375,0.00014157676696777344,1000
Redis,0.1350564956665039,15.1,11104.53515625,0.0001350564956665039,1000
Redis,0.16202378273010254,31.3,11109.26953125,0.00016202378273010254,1000
Redis,0.14454412460327148,17.4,11109.96875,0.00014454412460327147,1000
Redis,0.13835954666137695,17.1,11109.96875,0.00013835954666137695,1000
Redis,0.13712286949157715,17.4,11110.4609375,0.00013712286949157715,1000
Redis,0.1417982578277588,17.7,11110.4609375,0.0001417982578277588,1000
